time,email,f,m,l,,school,how,class
1112023 17:54:59,student22@gmail.com,student,stud,22,student22@gmail.comstudent22,North High School,High school counselor,Advanced Manufacturing Technology
1112023 18:57:02,student23@gmail.com,student,stud,23,student23@gmail.comstudent23,North High School,SICTC Website,Advanced Manufacturing Technology
1112023 18:21:27,student24@gmail.com,student,stud,24,student24@gmail.comstudent24,Memorial High School,High school counselor,Advanced Manufacturing Technology
1112023 17:47:10,student25@gmail.com,student,stud,25,student25@gmail.comstudent25,North Posey High School,,Advanced Manufacturing Technology
1112023 18:10:03,student26@gmail.com,student,stud,26,student26@gmail.comstudent26,Gibson Southern High School,,Advanced Manufacturing Technology
1112023 17:28:50,student27@gmail.com,student,stud,27,student27@gmail.comstudent27,Reitz High School,"High school counselor, Friend and Family Member",Advanced Manufacturing Technology
1112023 17:24:16,student28@gmail.com,student,stud,28,student28@gmail.comstudent28,North High School,High school counselor,Advanced Manufacturing Technology
1112023 18:20:52,student29@gmail.com,student,stud,29,student29@gmail.comstudent29,Memorial High School,High school counselor,Advanced Manufacturing Technology
1112023 18:54:32,student30@gmail.com,student,stud,30,student30@gmail.comstudent30,Castle High School,"Friend and Family Member, Current SITCTC Student",Advanced Manufacturing Technology
1112023 18:57:38,student31@gmail.com,student,stud,31,student31@gmail.comstudent31,North High School,High school counselor,Advanced Manufacturing Technology
1112023 17:44:07,student32@gmail.com,student,stud,32,student32@gmail.comstudent32,North High School,Teacher ,Advanced Manufacturing Technology
1112023 17:52:24,student33@gmail.com,student,stud,33,student33@gmail.comstudent33,Harrison High School,High school counselor,Advanced Manufacturing Technology
1112023 17:59:01,student34@gmail.com,student,stud,34,student34@gmail.comstudent34,Castle High School,SICTC Information Meeting at High School,Advanced Manufacturing Technology
1112023 18:04:12,student35@gmail.com,student,stud,35,student35@gmail.comstudent35,Castle High School,High school counselor,Advanced Manufacturing Technology
1112023 18:04:54,student36@gmail.com,student,stud,36,student36@gmail.comstudent36,Castle High School,"High school counselor, Facebook, Instagram, SICTC Website, Friend and Family Member, ",Advanced Manufacturing Technology
1112023 17:16:49,student37@gmail.com,student,stud,37,student37@gmail.comstudent37,North High School,High school counselor,Advanced Manufacturing Technology
1112023 17:16:49,student38@gmail.com,student,stud,38,student38@gmail.comstudent38,North High School,High school counselor,Precision Machine Metalworking Technology
1112023 17:41:55,student39@gmail.com,student,stud,39,student39@gmail.comstudent39,Castle High School,High school counselor,Advanced Manufacturing Technology
1112023 17:29:01,student40@gmail.com,student,stud,40,student40@gmail.comstudent40,Castle High School,High school counselor,Veterinary Sciences
1112023 18:04:03,student41@gmail.com,student,stud,41,student41@gmail.comstudent41,North High School,"High school counselor, Informational posters, SICTC Alumni, SICTC Information Meeting at High School",Welding Technology
1112023 17:34:43,student42@gmail.com,student,stud,42,student42@gmail.comstudent42,North High School,SICTC Information Meeting at High School,EngineeringArchitectural Design Technology
1112023 18:00:09,student43@gmail.com,student,stud,43,student43@gmail.comstudent43,Tecumseh High School,"High school counselor, Friend and Family Member",EngineeringArchitectural Design Technology
1112023 17:32:16,student44@gmail.com,student,stud,44,student44@gmail.comstudent44,Reitz High School,High school counselor,EngineeringArchitectural Design Technology
1112023 17:42:08,student45@gmail.com,student,stud,45,student45@gmail.comstudent45,Harrison High School,High school counselor,EngineeringArchitectural Design Technology
1112023 17:33:29,student46@gmail.com,student,stud,46,student46@gmail.comstudent46,North High School,"Informational posters, Current SITCTC Student, SICTC Information Meeting at High School",EngineeringArchitectural Design Technology
1112023 17:11:38,student47@gmail.com,student,stud,47,student47@gmail.comstudent47,Wood Memorial High School,"High school counselor, Informational posters, SICTC Information Meeting at High School",EngineeringArchitectural Design Technology
1112023 18:05:00,student48@gmail.com,student,stud,48,student48@gmail.comstudent48,Castle High School,"High school counselor, Friend and Family Member, Current SITCTC Student",EngineeringArchitectural Design Technology
1112023 17:44:49,student49@gmail.com,student,stud,49,student49@gmail.comstudent49,North High School,High school counselor,EngineeringArchitectural Design Technology
1112023 17:23:55,student50@gmail.com,student,stud,50,student50@gmail.comstudent50,North High School,Teacher ,Automotive Collision Repair Technology
1112023 17:45:57,student51@gmail.com,student,stud,51,student51@gmail.comstudent51,Mater Dei High School,SICTC Information Meeting at High School,Automotive Service Technology
1112023 17:30:25,student52@gmail.com,student,stud,52,student52@gmail.comstudent52,Evansville Christian School,"High school counselor, SICTC Website, Friend and Family Member",Electrical Technology
1112023 17:21:07,student53@gmail.com,student,stud,53,student53@gmail.comstudent53,Gibson Southern High School,High school counselor,Automotive Service Technology
1112023 17:48:29,student54@gmail.com,student,stud,54,student54@gmail.comstudent54,Gibson Southern High School,High school counselor,Automotive Service Technology
1112023 17:39:13,student55@gmail.com,student,stud,55,student55@gmail.comstudent55,Wood Memorial High School,High school counselor,Automotive Service Technology
1112023 17:39:35,student56@gmail.com,student,stud,56,student56@gmail.comstudent56,Wood Memorial High School,High school counselor,Automotive Service Technology
1112023 17:43:46,student57@gmail.com,student,stud,57,student57@gmail.comstudent57,Wood Memorial High School,High school counselor,Automotive Service Technology
1112023 17:53:36,student58@gmail.com,student,stud,58,student58@gmail.comstudent58,Wood Memorial High School,High school counselor,Automotive Service Technology
1112023 18:00:53,student59@gmail.com,student,stud,59,student59@gmail.comstudent59,Wood Memorial High School,High school counselor,Automotive Service Technology
1112023 18:20:20,student60@gmail.com,student,stud,60,student60@gmail.comstudent60,Castle High School,Grandpa and family friend,Automotive Collision Repair Technology
1112023 19:37:16,student61@gmail.com,student,stud,61,student61@gmail.comstudent61,Castle High School,"High school counselor, SICTC Website, SICTC Alumni, SICTC Information Meeting at High School",Automotive Collision Repair Technology
1112023 18:03:08,student62@gmail.com,student,stud,62,student62@gmail.comstudent62,Mt. Vernon High School,Friend and Family Member,Automotive Collision Repair Technology
1112023 18:02:00,student63@gmail.com,student,stud,63,student63@gmail.comstudent63,South Spencer,"High school counselor, Facebook, Instagram, SICTC Website, Friend and Family Member",Automotive Collision Repair Technology
1112023 18:40:23,student64@gmail.com,student,stud,64,student64@gmail.comstudent64,North Posey High School,"High school counselor, SICTC Website",Automotive Collision Repair Technology
1112023 17:29:32,student65@gmail.com,student,stud,65,student65@gmail.comstudent65,Boonville High School,SICTC Information Meeting at High School,Automotive Collision Repair Technology
1112023 17:57:30,student66@gmail.com,student,stud,66,student66@gmail.comstudent66,Mater Dei High School,SICTC Information Meeting at High School,Automotive Collision Repair Technology
1112023 17:38:47,student67@gmail.com,student,stud,67,student67@gmail.comstudent67,Gibson Southern High School,High school counselor,Automotive Collision Repair Technology
1112023 18:29:06,student68@gmail.com,student,stud,68,student68@gmail.comstudent68,Mater Dei High School,"High school counselor, SICTC Website, Current SITCTC Student",Automotive Collision Repair Technology
1112023 18:20:23,student69@gmail.com,student,stud,69,student69@gmail.comstudent69,Castle High School,High school counselor,Automotive Collision Repair Technology
1112023 18:29:05,student70@gmail.com,student,stud,70,student70@gmail.comstudent70,Mater Dei High School,Current SITCTC Student,Automotive Collision Repair Technology
1112023 17:28:57,student71@gmail.com,student,stud,71,student71@gmail.comstudent71,North High School,Teacher ,Automotive Collision Repair Technology
1112023 18:09:33,student72@gmail.com,student,stud,72,student72@gmail.comstudent72,Castle High School,High school counselor,Automotive Collision Repair Technology
1112023 18:06:08,student73@gmail.com,student,stud,73,student73@gmail.comstudent73,Reitz High School,"High school counselor, Informational posters, Friend and Family Member, SICTC Alumni, Current SITCTC Student",Automotive Collision Repair Technology
1112023 17:52:38,student74@gmail.com,student,stud,74,student74@gmail.comstudent74,North Posey High School,Friend and Family Member,Automotive Collision Repair Technology
1112023 18:05:56,student75@gmail.com,student,stud,75,student75@gmail.comstudent75,Other,High school counselor,Automotive Collision Repair Technology
1112023 18:00:13,student76@gmail.com,student,stud,76,student76@gmail.comstudent76,Wood Memorial High School,High school counselor,Automotive Collision Repair Technology
1112023 18:58:27,student77@gmail.com,student,stud,77,student77@gmail.comstudent77,Gibson Southern High School,Informational posters,Automotive Collision Repair Technology
1112023 18:28:27,student78@gmail.com,student,stud,78,student78@gmail.comstudent78,Tecumseh High School,High school counselor,Automotive Collision Repair Technology
1112023 18:31:58,student79@gmail.com,student,stud,79,student79@gmail.comstudent79,Castle High School,High school counselor,Automotive Collision Repair Technology
1112023 18:26:09,student80@gmail.com,student,stud,80,student80@gmail.comstudent80,North Posey High School,High school counselor,Automotive Collision Repair Technology
1112023 18:30:26,student81@gmail.com,student,stud,81,student81@gmail.comstudent81,Princeton High School,"High school counselor, Informational posters, Friend and Family Member",Automotive Collision Repair Technology
1112023 18:13:15,student82@gmail.com,student,stud,82,student82@gmail.comstudent82,North Posey High School,High school counselor,Automotive Collision Repair Technology
1112023 18:09:13,student83@gmail.com,student,stud,83,student83@gmail.comstudent83,Castle High School,Grandpa and family friend,Automotive Service Technology
1112023 17:36:17,student84@gmail.com,student,stud,84,student84@gmail.comstudent84,Evansville Christian School,"High school counselor, Friend and Family Member",Automotive Service Technology
1112023 18:03:52,student85@gmail.com,student,stud,85,student85@gmail.comstudent85,North Posey High School,Friend and Family Member,Automotive Service Technology
1112023 18:49:30,student86@gmail.com,student,stud,86,student86@gmail.comstudent86,Mt. Vernon High School,High school counselor,Automotive Service Technology
1112023 18:19:09,student87@gmail.com,student,stud,87,student87@gmail.comstudent87,Reitz High School,"High school counselor, SICTC Alumni",Automotive Service Technology
1112023 17:54:17,student88@gmail.com,student,stud,88,student88@gmail.comstudent88,Mt. Vernon High School,SICTC Alumni,Automotive Service Technology
1112023 17:56:22,student89@gmail.com,student,stud,89,student89@gmail.comstudent89,South Spencer,"High school counselor, Facebook, SICTC Website, Friend and Family Member",Automotive Service Technology
1112023 18:35:18,student90@gmail.com,student,stud,90,student90@gmail.comstudent90,North Posey High School,"High school counselor, SICTC Website",Automotive Service Technology
1112023 18:21:14,student91@gmail.com,student,stud,91,student91@gmail.comstudent91,Reitz High School,High school counselor,Automotive Service Technology
1112023 17:40:19,student92@gmail.com,student,stud,92,student92@gmail.comstudent92,Boonville High School,SICTC Information Meeting at High School,Automotive Service Technology
1112023 17:43:00,student93@gmail.com,student,stud,93,student93@gmail.comstudent93,Bosse High School,"High school counselor, Informational posters, Friend and Family Member",Automotive Service Technology
1112023 18:07:51,student94@gmail.com,student,stud,94,student94@gmail.comstudent94,Tecumseh High School,"High school counselor, Friend and Family Member",Automotive Service Technology
1112023 17:50:39,student95@gmail.com,student,stud,95,student95@gmail.comstudent95,Mater Dei High School,SICTC Information Meeting at High School,Automotive Service Technology
1112023 17:25:04,student96@gmail.com,student,stud,96,student96@gmail.comstudent96,Gibson Southern High School,High school counselor,Automotive Service Technology
1112023 18:22:30,student97@gmail.com,student,stud,97,student97@gmail.comstudent97,Evansville Christian School,Friend and Family Member,Automotive Service Technology
1112023 18:52:29,student98@gmail.com,student,stud,98,student98@gmail.comstudent98,Gibson Southern High School,Friend and Family Member,Automotive Service Technology
1112023 18:37:38,student99@gmail.com,student,stud,99,student99@gmail.comstudent99,North High School,"Friend and Family Member, SICTC Information Meeting at High School",Automotive Service Technology
1112023 18:22:28,student100@gmail.com,student,stud,100,student100@gmail.comstudent100,Mater Dei High School,"High school counselor, SICTC Website, Current SITCTC Student",Automotive Service Technology
1112023 18:28:19,student101@gmail.com,student,stud,101,student101@gmail.comstudent101,Tecumseh High School,"High school counselor, Friend and Family Member, SICTC Alumni, SICTC Information Meeting at High School",Automotive Service Technology
1112023 18:09:23,student102@gmail.com,student,stud,102,student102@gmail.comstudent102,Castle High School,High school counselor,Automotive Service Technology
1112023 18:21:59,student103@gmail.com,student,stud,103,student103@gmail.comstudent103,Mater Dei High School,Current SITCTC Student,Automotive Service Technology
1112023 18:15:30,student104@gmail.com,student,stud,104,student104@gmail.comstudent104,Castle High School,High school counselor,Automotive Service Technology
1112023 18:23:51,student105@gmail.com,student,stud,105,student105@gmail.comstudent105,Central High School,"High school counselor, Friend and Family Member",Automotive Service Technology
1112023 17:49:24,student106@gmail.com,student,stud,106,student106@gmail.comstudent106,North Posey High School,Friend and Family Member,Automotive Service Technology
1112023 17:45:17,student107@gmail.com,student,stud,107,student107@gmail.comstudent107,Evansville Christian School,Informational posters,Automotive Service Technology
1112023 17:59:23,student108@gmail.com,student,stud,108,student108@gmail.comstudent108,Bosse High School,High school counselor,Automotive Service Technology
1112023 18:49:22,student109@gmail.com,student,stud,109,student109@gmail.comstudent109,Reitz High School,"High school counselor, Friend and Family Member",Automotive Service Technology
1112023 18:13:23,student110@gmail.com,student,stud,110,student110@gmail.comstudent110,North High School,High school counselor,Automotive Service Technology
1112023 18:22:25,student111@gmail.com,student,stud,111,student111@gmail.comstudent111,Mater Dei High School,High school counselor,Automotive Service Technology
1112023 18:06:43,student112@gmail.com,student,stud,112,student112@gmail.comstudent112,North Posey High School,Current SITCTC Student,Automotive Service Technology
1112023 17:53:01,student113@gmail.com,student,stud,113,student113@gmail.comstudent113,Wood Memorial High School,High school counselor,Automotive Service Technology
1112023 18:54:39,student114@gmail.com,student,stud,114,student114@gmail.comstudent114,Gibson Southern High School,Informational posters,Automotive Service Technology
1112023 18:01:52,student115@gmail.com,student,stud,115,student115@gmail.comstudent115,Castle High School,High school counselor,Automotive Service Technology
1112023 18:54:52,student116@gmail.com,student,stud,116,student116@gmail.comstudent116,North High School,"SICTC Website, Friend and Family Member, SICTC Information Meeting at High School",Automotive Service Technology
1112023 18:22:44,student117@gmail.com,student,stud,117,student117@gmail.comstudent117,Castle High School,High school counselor,Automotive Service Technology
1112023 17:49:24,student118@gmail.com,student,stud,118,student118@gmail.comstudent118,Princeton High School,"High school counselor, Informational posters, Friend and Family Member",Automotive Service Technology
1112023 17:31:59,student119@gmail.com,student,stud,119,student119@gmail.comstudent119,South Spencer,"SICTC Website, Friend and Family Member",Diesel Service Technology
1112023 17:44:13,student120@gmail.com,student,stud,120,student120@gmail.comstudent120,North High School,"SICTC Website, Current SITCTC Student, SICTC Information Meeting at High School",Radio  TV  Communications
1112023 17:42:17,student121@gmail.com,student,stud,121,student121@gmail.comstudent121,Mt. Vernon High School,"High school counselor, Friend and Family Member",Building Construction Technology
1112023 17:45:32,student122@gmail.com,student,stud,122,student122@gmail.comstudent122,Boonville High School,High school counselor,Building Construction Technology
1112023 18:19:52,student123@gmail.com,student,stud,123,student123@gmail.comstudent123,Boonville High School,"High school counselor, Friend and Family Member",Building Construction Technology
1112023 18:07:00,student124@gmail.com,student,stud,124,student124@gmail.comstudent124,Mater Dei High School,"High school counselor, Informational posters, Current SITCTC Student, SICTC Information Meeting at High School",Building Construction Technology
1112023 18:58:30,student125@gmail.com,student,stud,125,student125@gmail.comstudent125,Mt. Vernon High School,Friend and Family Member,Building Construction Technology
1112023 18:07:01,student126@gmail.com,student,stud,126,student126@gmail.comstudent126,North Posey High School,"High school counselor, SICTC Website",Building Construction Technology
1112023 17:50:58,student127@gmail.com,student,stud,127,student127@gmail.comstudent127,Boonville High School,SICTC Information Meeting at High School,Building Construction Technology
1112023 18:06:40,student128@gmail.com,student,stud,128,student128@gmail.comstudent128,Mater Dei High School,"High school counselor, SICTC Website, Friend and Family Member, SICTC Information Meeting at High School",Building Construction Technology
1112023 18:09:22,student129@gmail.com,student,stud,129,student129@gmail.comstudent129,Evansville Christian School,Friend and Family Member,Building Construction Technology
1112023 18:42:05,student130@gmail.com,student,stud,130,student130@gmail.comstudent130,Reitz High School,,Building Construction Technology
1112023 18:36:06,student131@gmail.com,student,stud,131,student131@gmail.comstudent131,Memorial High School,High school counselor,Building Construction Technology
1112023 18:41:36,student132@gmail.com,student,stud,132,student132@gmail.comstudent132,Gibson Southern High School,Informational posters,Building Construction Technology
1112023 17:47:52,student133@gmail.com,student,stud,133,student133@gmail.comstudent133,Princeton High School,High school counselor,Building Construction Technology
1112023 18:02:31,student134@gmail.com,student,stud,134,student134@gmail.comstudent134,Wood Memorial High School,"High school counselor, Informational posters, SICTC Information Meeting at High School",Building Construction Technology
1112023 18:04:54,student135@gmail.com,student,stud,135,student135@gmail.comstudent135,Central High School,SICTC Information Meeting at High School,Building Construction Technology
1112023 17:50:32,student136@gmail.com,student,stud,136,student136@gmail.comstudent136,Mater Dei High School,High school counselor,Building Construction Technology
1112023 18:08:31,student137@gmail.com,student,stud,137,student137@gmail.comstudent137,Harrison High School,"High school counselor, Friend and Family Member, SICTC Alumni",Building Construction Technology
1112023 18:48:29,student138@gmail.com,student,stud,138,student138@gmail.comstudent138,Reitz High School,High school counselor,Building Construction Technology
1112023 17:40:50,student139@gmail.com,student,stud,139,student139@gmail.comstudent139,Memorial High School,High school counselor,Building Construction Technology
1112023 18:27:15,student140@gmail.com,student,stud,140,student140@gmail.comstudent140,North High School,SICTC Information Meeting at High School,Building Construction Technology
1112023 18:08:41,student141@gmail.com,student,stud,141,student141@gmail.comstudent141,EVSC Virtual Academy,High school counselor,Building Construction Technology
1112023 18:18:19,student142@gmail.com,student,stud,142,student142@gmail.comstudent142,North High School,High school counselor,Building Construction Technology
1112023 18:18:57,student143@gmail.com,student,stud,143,student143@gmail.comstudent143,North High School,SICTC Information Meeting at High School,Building Construction Technology
1112023 17:42:21,student144@gmail.com,student,stud,144,student144@gmail.comstudent144,Mater Dei High School,Informational posters,Building Construction Technology
1112023 18:02:29,student145@gmail.com,student,stud,145,student145@gmail.comstudent145,Castle High School,SICTC Information Meeting at High School,Building Construction Technology
1112023 18:09:21,student146@gmail.com,student,stud,146,student146@gmail.comstudent146,Castle High School,High school counselor,Building Construction Technology
1112023 18:05:46,student147@gmail.com,student,stud,147,student147@gmail.comstudent147,North Posey High School,High school counselor,Building Construction Technology
1112023 18:00:54,student148@gmail.com,student,stud,148,student148@gmail.comstudent148,North High School,SICTC Information Meeting at High School,Building Construction Technology
1112023 17:39:23,student149@gmail.com,student,stud,149,student149@gmail.comstudent149,Mt. Vernon High School,"High school counselor, Friend and Family Member",HVAC-R and Energy Systems
1112023 17:48:13,student150@gmail.com,student,stud,150,student150@gmail.comstudent150,Boonville High School,SICTC Information Meeting at High School,Building Construction Technology
1112023 17:30:29,student151@gmail.com,student,stud,151,student151@gmail.comstudent151,,Friend and Family Member,Building Construction Technology
1112023 19:05:04,student152@gmail.com,student,stud,152,student152@gmail.comstudent152,Castle High School,High school counselor,Automotive Collision Repair Technology
1112023 17:41:55,student153@gmail.com,student,stud,153,student153@gmail.comstudent153,Castle High School,High school counselor,Building Construction Technology
1112023 17:47:34,student154@gmail.com,student,stud,154,student154@gmail.comstudent154,Tecumseh High School,High school counselor,Computer ScienceSoftware Development
1112023 17:47:16,student155@gmail.com,student,stud,155,student155@gmail.comstudent155,Tecumseh High School,SICTC Information Meeting at High School,Computer ScienceSoftware Development
1112023 18:02:54,student156@gmail.com,student,stud,156,student156@gmail.comstudent156,Castle High School,High school counselor,Computer ScienceSoftware Development
1112023 19:19:42,student157@gmail.com,student,stud,157,student157@gmail.comstudent157,Tecumseh High School,SICTC Information Meeting at High School,Advanced Manufacturing Technology
1112023 17:29:09,student158@gmail.com,student,stud,158,student158@gmail.comstudent158,Central High School,High school counselor,Computer ScienceSoftware Development
1112023 17:29:09,student159@gmail.com,student,stud,159,student159@gmail.comstudent159,Central High School,High school counselor,Veterinary Sciences
1112023 17:33:00,student160@gmail.com,student,stud,160,student160@gmail.comstudent160,New Tech Institute,"Informational posters, Friend and Family Member",Computer ScienceSoftware Development
1112023 17:33:00,student161@gmail.com,student,stud,161,student161@gmail.comstudent161,New Tech Institute,"Informational posters, Friend and Family Member",Cyber Security
1112023 18:04:03,student162@gmail.com,student,stud,162,student162@gmail.comstudent162,North High School,"High school counselor, Informational posters, SICTC Alumni, SICTC Information Meeting at High School",EngineeringArchitectural Design Technology
1112023 18:04:03,student163@gmail.com,student,stud,163,student163@gmail.comstudent163,North High School,"High school counselor, Informational posters, SICTC Alumni, SICTC Information Meeting at High School",Veterinary Sciences
1122023 17:30:25,student164@gmail.com,student,stud,164,student164@gmail.comstudent164,Evansville Christian School,"High school counselor, SICTC Website, Friend and Family Member",Welding Technology
1132023 17:30:25,student165@gmail.com,student,stud,165,student165@gmail.comstudent165,Evansville Christian School,"High school counselor, SICTC Website, Friend and Family Member",Automotive Service Technology
1112023 17:33:00,student166@gmail.com,student,stud,166,student166@gmail.comstudent166,New Tech Institute,"Informational posters, Friend and Family Member",Electrical Technology
1112023 17:33:00,student167@gmail.com,student,stud,167,student167@gmail.comstudent167,New Tech Institute,"Informational posters, Friend and Family Member",Graphic Communications  Digital Media
1112023 17:33:00,student168@gmail.com,student,stud,168,student168@gmail.comstudent168,New Tech Institute,"Informational posters, Friend and Family Member",EngineeringArchitectural Design Technology
1112023 17:35:40,student169@gmail.com,student,stud,169,student169@gmail.comstudent169,North High School,Friend and Family Member,Computer ScienceSoftware Development
1112023 17:35:40,student170@gmail.com,student,stud,170,student170@gmail.comstudent170,North High School,Friend and Family Member,Cyber Security
1112023 17:35:40,student171@gmail.com,student,stud,171,student171@gmail.comstudent171,North High School,Friend and Family Member,EngineeringArchitectural Design Technology
1112023 17:57:56,student172@gmail.com,student,stud,172,student172@gmail.comstudent172,Tecumseh High School,High school counselor,Computer ScienceSoftware Development
1112023 17:48:59,student173@gmail.com,student,stud,173,student173@gmail.comstudent173,Tecumseh High School,SICTC Information Meeting at High School,Computer ScienceSoftware Development
1112023 18:26:40,student174@gmail.com,student,stud,174,student174@gmail.comstudent174,New Tech Institute,Informational posters,Computer ScienceSoftware Development
1112023 18:15:12,student175@gmail.com,student,stud,175,student175@gmail.comstudent175,Gibson Southern High School,Friend and Family Member,Computer ScienceSoftware Development
1112023 18:27:08,student176@gmail.com,student,stud,176,student176@gmail.comstudent176,Reitz High School,"High school counselor, Informational posters, Current SITCTC Student, SICTC Information Meeting at High School",Computer ScienceSoftware Development
1112023 18:06:42,student177@gmail.com,student,stud,177,student177@gmail.comstudent177,Evansville Christian School,Friend and Family Member,Computer ScienceSoftware Development
1112023 18:00:29,student178@gmail.com,student,stud,178,student178@gmail.comstudent178,North High School,High school counselor,Computer ScienceSoftware Development
1112023 17:56:33,student179@gmail.com,student,stud,179,student179@gmail.comstudent179,Wood Memorial High School,"High school counselor, Informational posters, SICTC Information Meeting at High School",Computer ScienceSoftware Development
1112023 18:40:29,student180@gmail.com,student,stud,180,student180@gmail.comstudent180,Reitz High School,High school counselor,Computer ScienceSoftware Development
1112023 18:41:11,student181@gmail.com,student,stud,181,student181@gmail.comstudent181,Castle High School,"High school counselor, SICTC Website, Friend and Family Member, SICTC Information Meeting at High School",Computer ScienceSoftware Development
1112023 18:57:17,student182@gmail.com,student,stud,182,student182@gmail.comstudent182,Gibson Southern High School,Friend and Family Member,Computer ScienceSoftware Development
1112023 18:16:41,student183@gmail.com,student,stud,183,student183@gmail.comstudent183,North High School,High school counselor,Computer ScienceSoftware Development
1112023 17:33:50,student184@gmail.com,student,stud,184,student184@gmail.comstudent184,Central High School,High school counselor,Computer ScienceSoftware Development
1112023 18:28:26,student185@gmail.com,student,stud,185,student185@gmail.comstudent185,North High School,Current SITCTC Student,Computer ScienceSoftware Development
1112023 17:44:18,student186@gmail.com,student,stud,186,student186@gmail.comstudent186,North High School,Friend and Family Member,Computer ScienceSoftware Development
1112023 18:07:27,student187@gmail.com,student,stud,187,student187@gmail.comstudent187,Castle High School,High school counselor,Computer ScienceSoftware Development
1112023 17:32:04,student188@gmail.com,student,stud,188,student188@gmail.comstudent188,Castle High School,"High school counselor, School",Computer ScienceSoftware Development
1112023 17:24:16,student189@gmail.com,student,stud,189,student189@gmail.comstudent189,Mater Dei High School,"Friend and Family Member, SICTC Information Meeting at High School",Building Construction Technology
1112023 18:12:36,student190@gmail.com,student,stud,190,student190@gmail.comstudent190,Gibson Southern High School,Informational posters,Building Construction Technology
1112023 17:30:01,student191@gmail.com,student,stud,191,student191@gmail.comstudent191,Mater Dei High School,Informational posters,EngineeringArchitectural Design Technology
1112023 17:34:37,student192@gmail.com,student,stud,192,student192@gmail.comstudent192,Memorial High School,High school counselor,Building Construction Technology
1112023 17:39:23,student193@gmail.com,student,stud,193,student193@gmail.comstudent193,Mt. Vernon High School,"High school counselor, Friend and Family Member",Building Construction Technology
1112023 17:24:34,student194@gmail.com,student,stud,194,student194@gmail.comstudent194,Mater Dei High School,"High school counselor, Informational posters, Current SITCTC Student, SICTC Information Meeting at High School",Building Construction Technology
1112023 17:49:29,student195@gmail.com,student,stud,195,student195@gmail.comstudent195,Mater Dei High School,High school counselor,EngineeringArchitectural Design Technology
